"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.in","data.out"
"December 9th 2019, 21:42:33.973","node-56",16149,564
"December 9th 2019, 21:42:33.682","node-34",10802,12533
"December 9th 2019, 21:42:33.193","node-36",11682,11496
"December 9th 2019, 21:42:32.509","node-78",13092,22028
"December 9th 2019, 21:42:31.346","node-77",11452,2832
"December 9th 2019, 21:42:30.909","node-33",10311,275
"December 9th 2019, 21:42:29.937","node-58",16834,373
"December 9th 2019, 21:42:29.740","node-60",16187,4337
"December 9th 2019, 21:42:29.737","node-35",10609,244
"December 9th 2019, 21:42:29.418","node-59",10600,125
"December 9th 2019, 21:42:25.869","node-13",10329,625
"December 9th 2019, 21:42:25.290","node-93",11376,639
"December 9th 2019, 21:42:22.801","node-86",10350,385
"December 9th 2019, 21:42:20.782","node-88",12399,6840
"December 9th 2019, 21:42:17.381","node-37",10393,317
"December 9th 2019, 21:42:17.190","node-97",11785,9873
"December 9th 2019, 21:42:16.414","node-39",11516,3811
"December 9th 2019, 21:42:15.963","node-99",12076,1550
"December 9th 2019, 21:42:15.530","node-61",16276,657
"December 9th 2019, 21:42:15.523","node-16",0,0
"December 9th 2019, 21:42:14.322","node-62",15780,909
"December 9th 2019, 21:42:14.083","node-100",14551,384
"December 9th 2019, 21:42:13.584","node-63",10036,299
"December 9th 2019, 21:42:13.477","node-42",16242,12278
"December 9th 2019, 21:42:13.117","node-41",16588,376
"December 9th 2019, 21:42:12.967","node-44",10699,422
"December 9th 2019, 21:42:12.173","node-18",9810,210
"December 9th 2019, 21:42:10.915","node-3",9997,8846
"December 9th 2019, 21:42:10.576","node-19",10093,5810
"December 9th 2019, 21:42:10.250","node-89",16709,442
"December 9th 2019, 21:42:09.656","node-91",14390,364
"December 9th 2019, 21:42:00.956","node-22",10461,523
"December 9th 2019, 21:42:00.059","node-23",9948,471
"December 9th 2019, 21:41:59.721","node-67",16550,6124
"December 9th 2019, 21:41:59.158","node-24",16733,317
"December 9th 2019, 21:41:58.463","node-21",10638,7997
"December 9th 2019, 21:41:58.428","node-65",15844,10598
"December 9th 2019, 21:41:58.051","node-66",10682,183
"December 9th 2019, 21:41:55.106","node-48",16881,40024
"December 9th 2019, 21:41:54.595","node-94",11611,2040
"December 9th 2019, 21:41:53.427","node-45",16067,199427
"December 9th 2019, 21:41:52.687","node-26",0,0
"December 9th 2019, 21:41:47.589","node-71",16220,2306
"December 9th 2019, 21:41:47.115","node-72",12370,3334
"December 9th 2019, 21:41:46.972","node-52",16669,358
"December 9th 2019, 21:41:46.769","node-51",9795,168
"December 9th 2019, 21:41:46.248","node-5",10128,268
"December 9th 2019, 21:41:44.652","node-25",11934,4570
"December 9th 2019, 21:41:44.589","node-8",12076,15896
"December 9th 2019, 21:41:43.615","node-28",10105,1958
"December 9th 2019, 21:41:41.741","node-30",15871,9807
"December 9th 2019, 21:41:40.748","node-27",10522,2159
"December 9th 2019, 21:41:40.371","node-9",11211,1146
"December 9th 2019, 21:41:39.462","node-74",16009,2004
"December 9th 2019, 21:41:39.048","node-12",10068,110
"December 9th 2019, 21:41:37.733","node-29",10469,297
"December 9th 2019, 21:41:37.672","node-32",16418,47571
"December 9th 2019, 21:41:37.651","node-76",13526,377
"December 9th 2019, 21:41:36.911","node-81",14026,397
"December 9th 2019, 21:41:35.607","node-84",15740,13117
"December 9th 2019, 21:41:35.606","node-83",13325,372
"December 9th 2019, 21:41:35.468","node-54",11842,21034
"December 9th 2019, 21:41:35.001","node-53",10660,2480
"December 9th 2019, 21:41:34.909","node-75",16363,19471
"December 9th 2019, 21:41:34.663","node-1",0,0
"December 9th 2019, 21:41:33.973","node-56",16149,564
"December 9th 2019, 21:41:33.672","node-34",10802,12533
"December 9th 2019, 21:41:33.186","node-36",11682,11496
"December 9th 2019, 21:41:32.506","node-78",13092,22028
"December 9th 2019, 21:41:31.347","node-77",11452,2832
"December 9th 2019, 21:41:30.911","node-33",10311,275
"December 9th 2019, 21:41:29.933","node-58",16834,373
"December 9th 2019, 21:41:29.741","node-60",16187,4337
"December 9th 2019, 21:41:29.736","node-35",10609,244
"December 9th 2019, 21:41:29.419","node-59",10600,125
"December 9th 2019, 21:41:25.868","node-13",10329,625
"December 9th 2019, 21:41:25.283","node-93",11376,639
"December 9th 2019, 21:41:22.799","node-86",10350,385
"December 9th 2019, 21:41:20.779","node-88",12399,6840
"December 9th 2019, 21:41:17.379","node-37",10393,317
"December 9th 2019, 21:41:17.191","node-97",11785,9873
"December 9th 2019, 21:41:16.414","node-39",11516,3811
"December 9th 2019, 21:41:15.963","node-99",12076,1550
"December 9th 2019, 21:41:15.529","node-61",16276,657
"December 9th 2019, 21:41:15.517","node-16",0,0
"December 9th 2019, 21:41:14.323","node-62",15780,909
"December 9th 2019, 21:41:14.082","node-100",14551,384
"December 9th 2019, 21:41:13.582","node-63",10036,299
"December 9th 2019, 21:41:13.468","node-42",16242,12278
"December 9th 2019, 21:41:13.117","node-41",16588,376
"December 9th 2019, 21:41:12.962","node-44",10699,422
"December 9th 2019, 21:41:12.170","node-18",9810,210
"December 9th 2019, 21:41:10.910","node-3",9997,8846
"December 9th 2019, 21:41:10.579","node-19",10093,5810
"December 9th 2019, 21:41:10.270","node-89",16709,442
"December 9th 2019, 21:41:09.639","node-91",14390,364
"December 9th 2019, 21:41:00.954","node-22",10461,523
"December 9th 2019, 21:41:00.059","node-23",9948,471
"December 9th 2019, 21:40:59.719","node-67",16550,6124
"December 9th 2019, 21:40:59.157","node-24",16733,317
"December 9th 2019, 21:40:58.463","node-21",10638,7997
"December 9th 2019, 21:40:58.428","node-65",15844,10598
"December 9th 2019, 21:40:58.050","node-66",10682,183
"December 9th 2019, 21:40:55.105","node-48",16881,40024
"December 9th 2019, 21:40:54.596","node-94",11611,2040
"December 9th 2019, 21:40:53.432","node-45",16067,199427
"December 9th 2019, 21:40:52.686","node-26",0,0
"December 9th 2019, 21:40:47.589","node-71",16220,2306
"December 9th 2019, 21:40:47.115","node-72",12370,3334
"December 9th 2019, 21:40:46.969","node-52",16669,358
"December 9th 2019, 21:40:46.769","node-51",9795,168
"December 9th 2019, 21:40:46.248","node-5",10128,268
"December 9th 2019, 21:40:44.652","node-25",11934,4570
"December 9th 2019, 21:40:44.587","node-8",12076,15896
"December 9th 2019, 21:40:43.612","node-28",10105,1958
"December 9th 2019, 21:40:41.741","node-30",15871,9807
"December 9th 2019, 21:40:40.747","node-27",10522,2159
"December 9th 2019, 21:40:40.371","node-9",11211,1146
"December 9th 2019, 21:40:39.464","node-74",16009,2004
"December 9th 2019, 21:40:39.048","node-12",10068,110
"December 9th 2019, 21:40:37.734","node-29",10469,297
"December 9th 2019, 21:40:37.672","node-32",16418,47571
"December 9th 2019, 21:40:37.651","node-76",13526,377
"December 9th 2019, 21:40:36.910","node-81",14026,397
"December 9th 2019, 21:40:35.609","node-83",13325,372
"December 9th 2019, 21:40:35.607","node-84",15740,13117
"December 9th 2019, 21:40:35.474","node-54",11842,21034
"December 9th 2019, 21:40:35.002","node-53",10660,2480
"December 9th 2019, 21:40:34.909","node-75",16363,19471
"December 9th 2019, 21:40:34.663","node-1",0,0
"December 9th 2019, 21:40:33.972","node-56",16149,564
"December 9th 2019, 21:40:33.671","node-34",10802,12533
"December 9th 2019, 21:40:33.185","node-36",11682,11496
"December 9th 2019, 21:40:32.507","node-78",13092,22028
"December 9th 2019, 21:40:31.345","node-77",11452,2832
"December 9th 2019, 21:40:30.910","node-33",10311,275
"December 9th 2019, 21:40:29.935","node-58",16834,373
"December 9th 2019, 21:40:29.742","node-60",16187,4337
"December 9th 2019, 21:40:29.734","node-35",10609,244
"December 9th 2019, 21:40:29.418","node-59",10600,125
"December 9th 2019, 21:40:25.868","node-13",10329,625
"December 9th 2019, 21:40:25.282","node-93",11376,639
"December 9th 2019, 21:40:22.799","node-86",10350,385
"December 9th 2019, 21:40:20.779","node-88",12399,6840
"December 9th 2019, 21:40:17.378","node-37",10393,317
"December 9th 2019, 21:40:17.194","node-97",11785,9873
"December 9th 2019, 21:40:16.414","node-39",11516,3811
"December 9th 2019, 21:40:15.962","node-99",12076,1550
"December 9th 2019, 21:40:15.527","node-61",16276,657
"December 9th 2019, 21:40:15.520","node-16",0,0
"December 9th 2019, 21:40:14.320","node-62",15780,909
"December 9th 2019, 21:40:14.082","node-100",14551,384
"December 9th 2019, 21:40:13.581","node-63",10036,299
"December 9th 2019, 21:40:13.467","node-42",16242,12278
"December 9th 2019, 21:40:13.118","node-41",16588,376
"December 9th 2019, 21:40:12.962","node-44",10699,422
"December 9th 2019, 21:40:12.167","node-18",9810,210
"December 9th 2019, 21:40:10.919","node-3",9997,8846
"December 9th 2019, 21:40:10.576","node-19",10093,5810
"December 9th 2019, 21:40:10.249","node-89",16709,442
"December 9th 2019, 21:40:09.639","node-91",14390,364
"December 9th 2019, 21:40:00.953","node-22",10461,523
"December 9th 2019, 21:40:00.057","node-23",9948,471
"December 9th 2019, 21:39:59.719","node-67",16550,6124
"December 9th 2019, 21:39:59.160","node-24",16733,317
"December 9th 2019, 21:39:58.463","node-21",10638,7997
"December 9th 2019, 21:39:58.427","node-65",15844,10598
"December 9th 2019, 21:39:58.050","node-66",10682,183
"December 9th 2019, 21:39:55.105","node-48",16881,40024
"December 9th 2019, 21:39:54.594","node-94",11611,2040
"December 9th 2019, 21:39:53.427","node-45",16067,199427
"December 9th 2019, 21:39:52.685","node-26",0,0
"December 9th 2019, 21:39:47.587","node-71",16220,2306
"December 9th 2019, 21:39:47.114","node-72",12370,3334
"December 9th 2019, 21:39:46.970","node-52",16669,358
"December 9th 2019, 21:39:46.768","node-51",9795,168
"December 9th 2019, 21:39:46.247","node-5",10128,268
"December 9th 2019, 21:39:44.652","node-25",11934,4570
"December 9th 2019, 21:39:44.586","node-8",12076,15896
"December 9th 2019, 21:39:43.610","node-28",10105,1958
"December 9th 2019, 21:39:41.742","node-30",15871,9807
"December 9th 2019, 21:39:40.747","node-27",10522,2159
"December 9th 2019, 21:39:40.377","node-9",11211,1146
"December 9th 2019, 21:39:39.462","node-74",16009,2004
"December 9th 2019, 21:39:39.047","node-12",10068,110
"December 9th 2019, 21:39:37.733","node-29",10469,297
"December 9th 2019, 21:39:37.671","node-32",16418,47571
"December 9th 2019, 21:39:37.652","node-76",13526,377
"December 9th 2019, 21:39:36.912","node-81",14026,397
"December 9th 2019, 21:39:35.605","node-84",15740,13117
"December 9th 2019, 21:39:35.604","node-83",13325,372
"December 9th 2019, 21:39:35.466","node-54",11842,21034
"December 9th 2019, 21:39:35.003","node-53",10660,2480
"December 9th 2019, 21:39:34.907","node-75",16363,19471
"December 9th 2019, 21:39:34.663","node-1",0,0
"December 9th 2019, 21:39:33.972","node-56",16149,564
"December 9th 2019, 21:39:33.668","node-34",10802,12533
"December 9th 2019, 21:39:33.185","node-36",11682,11496
"December 9th 2019, 21:39:32.507","node-78",13092,22028
"December 9th 2019, 21:39:31.344","node-77",11452,2832
"December 9th 2019, 21:39:30.910","node-33",10311,275
"December 9th 2019, 21:39:29.931","node-58",16834,373
"December 9th 2019, 21:39:29.740","node-60",16187,4337
"December 9th 2019, 21:39:29.734","node-35",10609,244
"December 9th 2019, 21:39:29.418","node-59",10600,125
"December 9th 2019, 21:39:25.868","node-13",10329,625
"December 9th 2019, 21:39:25.282","node-93",11376,639
"December 9th 2019, 21:39:22.800","node-86",10350,385
"December 9th 2019, 21:39:20.778","node-88",12399,6840
"December 9th 2019, 21:39:17.402","node-37",10393,317
"December 9th 2019, 21:39:17.190","node-97",11785,9873
"December 9th 2019, 21:39:16.413","node-39",11516,3811
"December 9th 2019, 21:39:15.961","node-99",12076,1550
"December 9th 2019, 21:39:15.527","node-61",16276,657
"December 9th 2019, 21:39:15.515","node-16",0,0
"December 9th 2019, 21:39:14.321","node-62",15780,909
"December 9th 2019, 21:39:14.083","node-100",14551,384
"December 9th 2019, 21:39:13.580","node-63",10036,299
"December 9th 2019, 21:39:13.468","node-42",16242,12278
