"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.topic","data.created"
"December 9th 2019, 21:05:01.110","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:05:01.110"
"December 9th 2019, 21:05:00.892","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:00.891"
"December 9th 2019, 21:05:00.668","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:00.668"
"December 9th 2019, 21:05:00.437","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:05:00.437"
"December 9th 2019, 21:05:00.210","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:05:00.210"
"December 9th 2019, 21:04:59.992","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:59.992"
"December 9th 2019, 21:04:59.768","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:59.768"
"December 9th 2019, 21:04:59.494","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:59.494"
"December 9th 2019, 21:04:59.270","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:59.270"
"December 9th 2019, 21:04:59.050","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:59.050"
"December 9th 2019, 21:04:58.828","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:58.828"
"December 9th 2019, 21:04:57.965","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:57.965"
"December 9th 2019, 21:04:57.709","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:57.709"
"December 9th 2019, 21:04:57.489","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:57.489"
"December 9th 2019, 21:04:57.265","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:57.265"
"December 9th 2019, 21:04:56.296","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:56.295"
"December 9th 2019, 21:04:55.898","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:55.898"
"December 9th 2019, 21:04:55.652","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:55.652"
"December 9th 2019, 21:04:55.426","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:55.426"
"December 9th 2019, 21:04:55.206","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:55.206"
"December 9th 2019, 21:04:54.980","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:54.980"
"December 9th 2019, 21:04:54.757","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:54.757"
"December 9th 2019, 21:04:54.532","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:54.532"
"December 9th 2019, 21:04:54.307","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:54.307"
"December 9th 2019, 21:04:53.359","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:53.359"
