"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.size"
"December 9th 2019, 21:40:15.527","node-61",11
"December 9th 2019, 21:40:15.520","node-16",0
"December 9th 2019, 21:40:14.320","node-62",12
"December 9th 2019, 21:40:14.081","node-100",12
"December 9th 2019, 21:40:13.581","node-63",8
"December 9th 2019, 21:40:13.467","node-42",13
"December 9th 2019, 21:40:13.118","node-41",6
"December 9th 2019, 21:40:12.962","node-44",15
"December 9th 2019, 21:40:12.167","node-18",8
"December 9th 2019, 21:40:10.918","node-3",10
"December 9th 2019, 21:40:10.576","node-19",15
"December 9th 2019, 21:40:10.249","node-89",9
"December 9th 2019, 21:40:09.639","node-91",8
"December 9th 2019, 21:40:00.953","node-22",15
"December 9th 2019, 21:40:00.057","node-23",15
"December 9th 2019, 21:39:59.719","node-67",13
"December 9th 2019, 21:39:59.160","node-24",10
"December 9th 2019, 21:39:58.463","node-21",40
"December 9th 2019, 21:39:58.427","node-65",13
"December 9th 2019, 21:39:58.050","node-66",8
"December 9th 2019, 21:39:55.105","node-48",19
"December 9th 2019, 21:39:54.594","node-94",12
"December 9th 2019, 21:39:53.427","node-45",32
"December 9th 2019, 21:39:52.685","node-26",0
"December 9th 2019, 21:39:47.587","node-71",16
"December 9th 2019, 21:39:47.114","node-72",10
"December 9th 2019, 21:39:46.970","node-52",8
"December 9th 2019, 21:39:46.768","node-51",4
"December 9th 2019, 21:39:46.247","node-5",9
"December 9th 2019, 21:39:44.652","node-25",16
"December 9th 2019, 21:39:44.586","node-8",21
"December 9th 2019, 21:39:43.610","node-28",22
"December 9th 2019, 21:39:41.742","node-30",10
"December 9th 2019, 21:39:40.747","node-27",6
"December 9th 2019, 21:39:40.376","node-9",13
"December 9th 2019, 21:39:39.462","node-74",28
"December 9th 2019, 21:39:39.047","node-12",5
"December 9th 2019, 21:39:37.733","node-29",5
"December 9th 2019, 21:39:37.671","node-32",18
"December 9th 2019, 21:39:37.652","node-76",7
"December 9th 2019, 21:39:36.912","node-81",8
"December 9th 2019, 21:39:35.605","node-84",32
"December 9th 2019, 21:39:35.604","node-83",6
"December 9th 2019, 21:39:35.466","node-54",29
"December 9th 2019, 21:39:35.002","node-53",10
"December 9th 2019, 21:39:34.907","node-75",18
"December 9th 2019, 21:39:34.662","node-1",0
"December 9th 2019, 21:39:33.972","node-56",11
"December 9th 2019, 21:39:33.668","node-34",38
